corrected,seed,cls,n,mean,sd,truth,covered,abs_error
False,200000,0,33,0.19066445913221383,0.0034762899972549913,0.12,False,0.07066445913221384
False,200000,1,2,0.8425367510964932,0.013801311186847085,0.14,False,0.7025367510964932
False,200000,2,70,0.5806428851462457,0.00238875157648325,0.62,False,0.03935711485375426
False,200000,3,5,0.2337920920485312,0.008856148855400953,0.06,False,0.17379209204853122
False,200001,0,39,0.13997036690197973,0.0031984651050360065,0.12,False,0.01997036690197973
False,200001,1,1,0.11489464057030682,0.019069251784911846,0.14,True,0.02510535942969319
False,200001,2,8,0.3777808687721093,0.007027283689263065,0.62,False,0.24221913122789068
False,200001,4,2,0.09326202003464255,0.013801311186847085,0.26,False,0.16673797996535744
False,200002,0,8,0.15944140107108412,0.007027283689263065,0.12,False,0.039441401071084126
False,200002,1,82,0.1291756550654656,0.0022072850260802523,0.14,False,0.010824344934534408
False,200002,2,4,0.48411158990121256,0.009877295966495897,0.62,False,0.13588841009878744
False,200002,3,1,0.01947817242010577,0.019069251784911846,0.06,False,0.040521827579894226
False,200002,4,5,0.0900811802550073,0.008856148855400953,0.26,False,0.1699188197449927
False,200003,2,2,0.7375477044419736,0.013801311186847085,0.62,False,0.1175477044419736
False,200003,3,1,0.6879814727173867,0.019069251784911846,0.06,False,0.6279814727173867
False,200004,0,12,0.13918102373491467,0.00574959574576069,0.12,False,0.019181023734914676
False,200004,1,12,0.21262994919963701,0.00574959574576069,0.14,False,0.072629949199637
False,200004,2,8,0.47999886145056514,0.007027283689263065,0.62,False,0.14000113854943486
False,200004,3,1,0.4608523777190057,0.019069251784911846,0.06,False,0.4008523777190057
False,200005,0,2,0.45584060243839675,0.013801311186847085,0.12,False,0.33584060243839675
False,200005,1,48,0.1480979154414701,0.002883749003642362,0.14,False,0.008097915441470094
False,200005,2,2,0.35169744246206175,0.013801311186847085,0.62,False,0.26830255753793825
False,200005,3,1,0.1737272192253548,0.019069251784911846,0.06,False,0.11372721922535481
False,200006,2,2,0.6482110090111547,0.013801311186847085,0.62,False,0.028211009011154697
False,200007,0,127,0.1229958648543376,0.001774014725270341,0.12,True,0.0029958648543376015
False,200007,1,8,0.23821945598922303,0.007027283689263065,0.14,False,0.09821945598922302
False,200007,2,11,0.34668850380094673,0.006003002251876642,0.62,False,0.27331149619905326
False,200007,3,5,0.20957859169207702,0.008856148855400953,0.06,False,0.14957859169207702
False,200007,4,4,0.16582239265154114,0.009877295966495897,0.26,False,0.09417760734845887
False,200008,0,21,0.16270270563971603,0.0043540034418410815,0.12,False,0.04270270563971604
False,200008,1,7,0.6028727413629444,0.007505866250408015,0.14,False,0.46287274136294443
False,200008,2,73,0.629643878080003,0.0023392212858877213,0.62,False,0.009643878080002999
False,200008,3,2,0.46020860594592705,0.013801311186847085,0.06,False,0.40020860594592705
False,200008,4,1,0.4798709751068704,0.019069251784911846,0.26,False,0.21987097510687037
False,200009,0,15,0.14820340185207703,0.005146850126549788,0.12,False,0.028203401852077037
False,200009,1,3,0.296194564007852,0.011359236684941296,0.14,False,0.15619456400785198
False,200009,2,40,0.6112017939201501,0.003158332209274327,0.62,False,0.008798206079849935
False,200009,3,1,0.5063609635943861,0.019069251784911846,0.06,False,0.4463609635943861
False,200010,0,10,0.13443507675006053,0.006293167755275526,0.12,False,0.014435076750060533
False,200010,1,31,0.1355410388464423,0.0035863263006041634,0.14,True,0.004458961153557706
False,200010,2,2,0.40695908443303336,0.013801311186847085,0.62,False,0.21304091556696664
False,200010,3,1,0.058051573992922295,0.019069251784911846,0.06,True,0.0019484260070777026
False,200010,4,2,0.14398091411567188,0.013801311186847085,0.26,False,0.11601908588432813
False,200011,0,128,0.12417203598319027,0.0017670768233468742,0.12,False,0.00417203598319027
False,200011,1,5,0.12893084085990825,0.008856148855400953,0.14,True,0.011069159140091767
False,200011,2,3,0.5483316976842285,0.011359236684941296,0.62,False,0.07166830231577148
False,200011,3,5,0.055598378143038946,0.008856148855400953,0.06,True,0.004401621856961052
False,200011,4,4,0.2653118235645848,0.009877295966495897,0.26,True,0.005311823564584817
False,200012,0,3,0.3782859738504177,0.011359236684941296,0.12,False,0.2582859738504177
False,200012,1,17,0.15369585224130863,0.0048365083340667445,0.14,False,0.01369585224130862
False,200012,2,14,0.5578274115731776,0.005326236412913074,0.62,False,0.062172588426822384
False,200013,0,31,0.124632853703199,0.0035863263006041634,0.12,True,0.004632853703199005
False,200013,1,135,0.13646157274458925,0.0017206887574887093,0.14,False,0.0035384272554107588
False,200013,2,8,0.46770031879697993,0.007027283689263065,0.62,False,0.15229968120302007
False,200013,3,4,0.14857979198313015,0.009877295966495897,0.06,False,0.08857979198313015
False,200013,4,4,0.18796478092744065,0.009877295966495897,0.26,False,0.07203521907255936
False,200014,0,15,0.10607986443830614,0.005146850126549788,0.12,False,0.013920135561693858
False,200014,1,10,0.16093919732875706,0.006293167755275526,0.14,False,0.020939197328757042
False,200014,2,2,0.7312702427267727,0.013801311186847085,0.62,False,0.11127024272677266
False,200014,3,1,0.20615521995300803,0.019069251784911846,0.06,False,0.14615521995300804
False,200014,4,1,0.09537144095954748,0.019069251784911846,0.26,False,0.16462855904045254
False,200015,0,30,0.16969713799143302,0.003645413082882446,0.12,False,0.04969713799143302
False,200015,1,12,0.15163535820107035,0.00574959574576069,0.14,False,0.01163535820107034
False,200015,2,6,0.6400247605326491,0.00809776330178916,0.62,False,0.020024760532649122
False,200015,3,1,0.12004622793111097,0.019069251784911846,0.06,False,0.060046227931110974
False,200016,0,18,0.11003655557546835,0.004701004947222685,0.12,False,0.009963444424531648
False,200016,1,1,0.12514197614352052,0.019069251784911846,0.14,True,0.014858023856479496
False,200016,2,5,0.5169500091744063,0.008856148855400953,0.62,False,0.10304999082559374
False,200016,3,2,0.07908194557653732,0.013801311186847085,0.06,True,0.01908194557653732
False,200016,4,5,0.24055841859663554,0.008856148855400953,0.26,False,0.019441581403364466
