seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve_fraction,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,solar_rate,resume_charge_fraction,prior_body,max_slope_deg,condition,split
400004,success,True,0.0,10.342360460905567,0,5,369.10344699617997,228.51456941995175,272.7444557570972,79.51616344006622,194,17.071067811865476,8,3,0.5802143453892229,52,36950,0.03658261299487753,1,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400005,energy_exhausted,False,1.7572859911266732,9.623904321875369,1,5,390.3122588780024,31.617387616601526,54.63846207193268,54.65846207193268,30,32.798989873223334,0,2,0.2927647429449175,50,65760,0.021884863840291313,0,17.46424919657298,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400006,energy_exhausted,False,2.660266403645624,9.130953200747532,1,5,383.2623625942644,36.63725539461054,66.70822613367945,66.72822613367944,34,37.798989873223334,0,1,0.33716998334459924,38,41604,0.03984404356464488,0,6.324555320336759,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400007,energy_exhausted,False,0.0,10.037456096628219,0,5,359.3126118695271,32.196144116032215,86.21686557983865,86.23686557983865,31,33.213203435596434,0,2,0.28654835143140156,44,42168,0.023707458656310743,1,1.4142135623730951,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400008,energy_exhausted,False,2.2481687817824647,8.885444925719812,1,5,433.3183925721266,39.4629441246191,19.47788488582612,19.49788488582612,40,40.72792206135786,0,2,0.29533982068361303,52,43135,0.1435692664730891,0,4.47213595499958,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400009,energy_exhausted,False,0.0,10.375277040139736,0,5,433.76543398812896,24.367866620274665,3.9357659654792725,3.9557659654792725,27,27.970562748477146,0,3,0.3382010028504192,34,23228,0.023285875900701858,0,5.385164807134504,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400010,energy_exhausted,False,1.8158144339910596,10.41206692211277,1,5,446.5772381732705,36.056456134558765,2.812551294621949,2.832551294621949,37,38.970562748477136,0,2,0.2859235522416148,55,70602,0.11383222413179828,0,21.95449840010015,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400011,energy_exhausted,False,0.0,9.044600831464807,0,5,449.6753171965415,45.81805976181171,9.476075898603867,9.496075898603866,45,46.87005768508879,0,2,0.28690215490511123,65,69977,0.048443852693668465,3,3.1622776601683795,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400012,success,True,2.065511083809088,9.399408209832723,1,5,261.21643570834465,119.5096135830176,271.6265112080047,186.45035781596434,112,26.485281374238575,4,2,0.3917015352018797,51,42883,0.007230991010835464,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400013,energy_exhausted,False,0.0,11.422294659534387,0,5,414.5198492552306,32.462939206538415,31.2764232846413,31.2964232846413,29,26.48528137423857,0,4,0.36192581909628846,53,65246,0.1335362409770402,0,11.40175425099138,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400014,energy_exhausted,False,2.4472873995289284,10.17582267325629,1,5,375.8181840443714,22.614677017603917,60.12982630656624,60.14982630656624,23,23.313708498984763,0,2,0.35994548116068903,31,39750,0.022129192402184028,0,20.248456731316587,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400015,energy_exhausted,False,2.6878019553130885,12.083069141602065,1,5,357.68732489385127,21.56900497436357,77.21501341384563,77.23501341384562,25,29.62741699796953,0,0,0.40845751769367306,40,51844,0.022255016536466887,1,8.06225774829855,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400016,success,True,0.0,12.058914380674398,0,5,158.66204515723376,31.05652942135841,285.7278175974601,267.172374249289,34,10.82842712474619,1,1,0.3044154447357918,44,65703,0.028341571960378564,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400017,energy_exhausted,False,2.015181804021767,10.377593705823667,1,5,401.79722938919826,40.134142129857885,51.670246073993226,51.69024607399323,38,41.62741699796952,0,2,0.28969240508859795,47,49784,0.03661195154486707,0,9.848857801796104,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400018,success,True,1.494875937372436,9.300711949766486,1,5,301.7399709380162,163.55074048538617,275.1441028807011,196.3949635543397,142,36.62741699796952,5,1,0.27414546993786937,79,63374,0.03995278809425207,1,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400019,timeout,False,4.880827772279631,10.403107865331462,2,5,1098.8542854314637,829.3121012855593,143.79114918742013,50.46042271255745,800,119.74011537017753,32,6,0.2411440659103609,153,95018,0.010604302335900928,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400020,success,True,0.0,7.490868008358168,0,5,224.57186883745683,98.45645648423107,287.2179209801093,201.62397579783072,92,2.0,4,3,0.7714596289519157,56,41863,0.10512728496878776,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400021,energy_exhausted,False,1.1838366797759214,8.656699591862557,1,5,475.1764337642029,63.38905434135761,1.5459539104879905,1.5659539104879905,58,63.59797974644663,0,2,0.2941808584670954,83,81518,0.03559965647927599,3,2.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400022,energy_exhausted,False,0.0,10.050554038465963,0,5,444.6001910228058,33.898478550440565,2.6316208609680207,2.6516208609680207,30,31.798989873223338,0,3,0.38271543048977186,43,37506,0.03023785365053966,0,6.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400023,success,True,0.0,9.312488982340422,0,5,321.68809117405704,189.61262091321527,281.2578630724833,138.51481237159882,184,33.798989873223334,7,2,0.28009957974680977,71,55750,0.030099644191525,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400024,success,True,2.5541636147658195,8.945433533721532,1,5,307.7261532239885,168.8016257447294,274.4088058540679,148.9900093207185,182,37.35533905932738,7,1,0.28798683538256464,64,64724,0.017296188611648833,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400025,success,True,1.187697045456624,6.504449313092817,1,5,646.9684719596393,483.22336465458767,249.58822602827175,28.525372366422715,448,57.698484809834966,18,3,0.255331410244235,117,127436,0.05548871807027633,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400026,energy_exhausted,False,2.908728450954972,12.919125223882055,1,5,448.17052231085955,39.12422368202931,4.287034704503272,4.3070347045032715,34,35.55634918610404,0,2,0.3067652697341994,29,21247,0.034815163559540396,0,2.8284271247461903,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400027,energy_exhausted,False,0.0,10.052784418734847,0,5,774.9974846439062,364.5744387150065,2.910287404416859,2.930287404416859,362,86.49747468305827,13,3,0.2793394400233545,129,126900,0.025289858578238178,1,2.23606797749979,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400028,success,True,2.85670826955898,11.175818835571611,1,5,636.7624381710691,504.4371676486084,281.00806281086733,107.84144337526126,470,56.627416997969505,19,2,0.2980017563171038,110,89481,0.18248052392757863,1,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400029,timeout,False,1.9269961299693577,7.772974148827593,1,5,919.0958147546531,713.6195939294129,207.8571125080914,2.0364687216271777,800,77.49747468305827,34,2,0.3073198476376037,100,45413,0.048034668319028584,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400030,success,True,0.0,9.716785046362691,0,5,411.55080497148685,247.6800179755487,249.46254633738508,165.15454192054142,244,24.48528137423857,10,5,0.4765257084190917,74,68058,0.15589922840013226,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400031,immobilized,False,2.6760108965509426,12.854598146362186,1,5,367.64736433174403,31.88911429490734,77.57508329649704,77.57508329649704,30,31.798989873223338,0,4,0.30008385063047716,42,33368,0.03459527537522977,0,2.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400032,success,True,0.0,10.281575833388214,0,5,406.16114523115215,258.707043657659,265.8792317598327,110.41989938395825,264,25.798989873223338,11,2,0.2612936593795707,75,63801,0.028467514430418617,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400033,success,True,1.236935143682114,8.442189452281752,1,5,290.0189536521167,151.90447967746675,275.2188593586772,162.081074025779,160,30.970562748477146,6,1,0.30963409755706023,51,37173,0.04902568608271063,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400034,success,True,0.0,12.717881015155145,0,5,206.871940773485,62.570985960691445,269.0323785205405,229.00050022361037,62,17.071067811865476,2,2,0.32822328251063426,64,72475,0.03616730221046671,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400035,energy_exhausted,False,0.0,8.869218248335546,0,5,396.0866963836766,28.07054652654942,45.31718347620632,45.33718347620632,29,29.55634918610405,0,3,0.27274355525917626,34,35201,0.041273786090176845,0,1.4142135623730951,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400036,success,True,5.172389931770752,12.205281884196726,2,5,870.625098531332,728.7859316391223,271.49416644111454,1.7212731789334033,746,69.94112549695426,31,5,0.280925931978694,143,84118,0.15425030058480194,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400037,energy_exhausted,False,0.0,10.849583089372857,0,5,404.0855327568337,19.487056207755376,28.73485678425525,28.75485678425525,23,23.313708498984763,0,2,0.3899357334945316,42,48127,0.13082222693765067,0,11.661903789690601,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400038,timeout,False,2.3560180656126475,12.89455164165896,1,5,965.5955183329249,767.8456863342443,215.58350133464512,53.65294297780355,800,105.25483399593898,33,1,0.2880727738049649,148,134095,0.039595523538157984,0,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400039,success,True,1.7648669781534534,8.546839348498514,1,5,557.7660841462132,406.6063737991681,262.17362298628143,73.25226884190538,426,56.62741699796951,17,1,0.31408249061008064,92,94173,0.03183669766855779,1,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
400040,success,True,2.643272406132337,8.82589080977645,1,5,717.5890636559596,564.0333927886327,259.7776624659908,92.99376342372884,545,43.21320343559643,23,3,0.29941316522017414,139,105175,0.1891940725069845,1,0.0,mars,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,20,10,2.0,0.6,moon,25.0,mars_comm_delay,ood
