condition,metric,treatment,control,n_pairs,mean_treatment,mean_control,mean_diff,ci95_low,ci95_high,t_stat,p_value,p_wilcoxon,cohens_dz,n_discordant,test,treatment_only_wins,control_only_wins,p_holm,significant,family
mars_comm_delay,science_fraction,adaptive_risk_aware_astar,risk_aware_astar,50,0.15630828537516395,0.2000254525476852,-0.04371716717252129,-0.08514766986172685,-0.0022866644833157285,-2.1204892744453128,0.03905146889288334,0.1208386531141816,-0.2998824690787245,16,paired t-test,,,0.32643693254199707,False,primary
mars_comm_delay,success,adaptive_risk_aware_astar,risk_aware_astar,50,0.44,0.28,0.16,0.004233115609969029,0.315766884390031,,0.076812744140625,,,16,McNemar exact,12.0,4.0,0.46087646484375,False,primary
mars_faults,science_fraction,adaptive_risk_aware_astar,risk_aware_astar,50,0.14570536100787806,0.16815220074765258,-0.02244683973977452,-0.050245478585828854,0.005351799106279819,-1.6226914397739296,0.11107263866761945,0.11412832776223866,-0.22948322416750158,10,paired t-test,,,0.46142578125,False,primary
mars_faults,success,adaptive_risk_aware_astar,risk_aware_astar,50,0.46,0.26,0.2,0.08516712930690061,0.3148328706930994,,0.001953125,,,10,McNemar exact,10.0,0.0,0.01953125,True,primary
mars_high_uncertainty,science_fraction,adaptive_risk_aware_astar,risk_aware_astar,50,0.13187726332351854,0.16219968883718866,-0.030322425513670117,-0.05862528686013957,-0.0020195641672006645,-2.152969436412424,0.03627077028244412,0.059739015455392376,-0.3044758576349209,12,paired t-test,,,0.32643693254199707,False,primary
mars_high_uncertainty,success,adaptive_risk_aware_astar,risk_aware_astar,50,0.36,0.22,0.14,-0.0007581214634032052,0.28075812146340323,,0.09228515625,,,13,McNemar exact,10.0,3.0,0.46142578125,False,primary
mars_ood,science_fraction,adaptive_risk_aware_astar,risk_aware_astar,50,0.15839105451540475,0.17292778095319242,-0.014536726437787712,-0.05134824880059008,0.02227479592501466,-0.7935734140628525,0.43127006123664535,0.5524933360016062,-0.11222822849064058,13,paired t-test,,,1.0,False,primary
mars_ood,success,adaptive_risk_aware_astar,risk_aware_astar,50,0.34,0.34,0.0,-0.1283870524606068,0.1283870524606068,,1.0,,,10,McNemar exact,5.0,5.0,1.0,False,primary
moon_id,science_fraction,adaptive_risk_aware_astar,risk_aware_astar,50,0.828521419515929,0.7880934615531782,0.04042795796275089,0.0019520380511492547,0.07890387787435253,2.1115290653557275,0.03985070072354376,0.027707849358079868,0.2986153041571056,6,paired t-test,,,0.32643693254199707,False,primary
moon_id,success,adaptive_risk_aware_astar,risk_aware_astar,50,0.92,0.9,0.02,-0.07060160676987055,0.11060160676987056,,1.0,,,5,McNemar exact,3.0,2.0,1.0,False,primary
