condition,metric,treatment,control,n_pairs,mean_treatment,mean_control,mean_diff,ci95_low,ci95_high,t_stat,p_value,p_wilcoxon,cohens_dz,n_discordant,test,treatment_only_wins,control_only_wins,p_holm,significant,family
mars_comm_delay,science_fraction,risk_aware_astar,astar,50,0.2000254525476852,0.1071516766649788,0.09287377588270643,0.059468598416242434,0.12627895334917041,5.587063274246796,1.0059492635807904e-06,4.0099648164691383e-05,0.790130065627645,22,paired t-test,,,1.911303600803502e-05,True,secondary
mars_comm_delay,success,risk_aware_astar,astar,50,0.28,0.54,-0.26,-0.4204581361107448,-0.0995418638892552,,0.004425048828125,,,19,McNemar exact,3.0,16.0,0.046543527888459744,True,secondary
mars_comm_delay,science_fraction,adaptive_risk_aware_astar,astar,50,0.15630828537516395,0.1071516766649788,0.04915660871018513,0.011905988912939813,0.08640722850743045,2.651872751189621,0.01075446512033286,0.014097354120504295,0.3750314410420014,19,paired t-test,,,0.07528125584233002,False,secondary
mars_comm_delay,success,adaptive_risk_aware_astar,astar,50,0.44,0.54,-0.1,-0.26491615489457754,0.06491615489457755,,0.332305908203125,,,17,McNemar exact,6.0,11.0,0.996917724609375,False,secondary
mars_faults,science_fraction,risk_aware_astar,astar,50,0.16815220074765258,0.07366883999446557,0.09448336075318702,0.055563213188537484,0.13340350831783654,4.878486695739304,1.1720685892763826e-05,0.00013634079670182605,0.6899222048971231,22,paired t-test,,,0.00021097234606974887,True,secondary
mars_faults,success,risk_aware_astar,astar,50,0.26,0.4,-0.14,-0.28075812146340323,0.0007581214634032052,,0.09228515625,,,13,McNemar exact,3.0,10.0,0.5537109375,False,secondary
mars_faults,science_fraction,adaptive_risk_aware_astar,astar,50,0.14570536100787806,0.07366883999446557,0.0720365210134125,0.03309622847762265,0.11097681354920236,3.7175583276484883,0.0005169869500333993,0.001324537524799508,0.5257421405873535,20,paired t-test,,,0.00723781730046759,True,secondary
mars_faults,success,adaptive_risk_aware_astar,astar,50,0.46,0.4,0.06,-0.09629508829445826,0.21629508829445826,,0.6072387695312499,,,15,McNemar exact,9.0,6.0,0.996917724609375,False,secondary
mars_high_uncertainty,science_fraction,risk_aware_astar,astar,50,0.16219968883718866,0.08148179200142891,0.08071789683575975,0.044225265322397435,0.11721052834912207,4.444970942007848,5.032140549923074e-05,0.0008292057593073196,0.628613819054181,24,paired t-test,,,0.0008051424879876918,True,secondary
mars_high_uncertainty,success,risk_aware_astar,astar,50,0.22,0.44,-0.22,-0.3639996872611862,-0.0760003127388138,,0.00738525390625,,,15,McNemar exact,2.0,13.0,0.05908203125,False,secondary
mars_high_uncertainty,science_fraction,adaptive_risk_aware_astar,astar,50,0.13187726332351854,0.08148179200142891,0.05039547132208963,0.015490331562958287,0.08530061108122097,2.9013919420229355,0.005550948984815869,0.026875591671183845,0.41031878341688477,19,paired t-test,,,0.04995854086334282,True,secondary
mars_high_uncertainty,success,adaptive_risk_aware_astar,astar,50,0.36,0.44,-0.08,-0.23016346362436813,0.07016346362436811,,0.4239501953125,,,14,McNemar exact,5.0,9.0,0.996917724609375,False,secondary
mars_ood,science_fraction,risk_aware_astar,astar,50,0.17292778095319242,0.1011618622358123,0.07176591871738013,0.03799064943074473,0.10554118800401552,4.269958942454479,8.94471074847249e-05,0.00021907963048002188,0.6038633847195402,20,paired t-test,,,0.0013417066122708733,True,secondary
mars_ood,success,risk_aware_astar,astar,50,0.34,0.48,-0.14,-0.3123449735316343,0.03234497353163429,,0.1670684814453125,,,19,McNemar exact,6.0,13.0,0.8353424072265625,False,secondary
mars_ood,science_fraction,adaptive_risk_aware_astar,astar,50,0.15839105451540475,0.1011618622358123,0.05722919227959241,0.019295276606695326,0.0951631079524895,3.0317557680486473,0.003878627324038312,0.003306789231116912,0.4287550124977257,19,paired t-test,,,0.046543527888459744,True,secondary
mars_ood,success,adaptive_risk_aware_astar,astar,50,0.34,0.48,-0.14,-0.32165747149380963,0.041657471493809634,,0.18924713134765625,,,21,McNemar exact,7.0,14.0,0.8353424072265625,False,secondary
moon_id,science_fraction,risk_aware_astar,astar,50,0.7880934615531782,0.6594246775645947,0.12866878398858336,0.0723304582335215,0.18500710974364523,4.589586194292548,3.109790035434222e-05,5.3069919380911005e-05,0.6490655041648841,30,paired t-test,,,0.0005286643060238177,True,secondary
moon_id,success,risk_aware_astar,astar,50,0.9,0.66,0.24,0.0929421724822046,0.3870578275177954,,0.004180908203125,,,16,McNemar exact,14.0,2.0,0.046543527888459744,True,secondary
moon_id,science_fraction,adaptive_risk_aware_astar,astar,50,0.828521419515929,0.6594246775645947,0.16909674195133426,0.11129564034243242,0.2268978435602361,5.878999116727912,3.5931759288978383e-07,2.3265693900207295e-06,0.8314160284056061,31,paired t-test,,,7.186351857795677e-06,True,secondary
moon_id,success,adaptive_risk_aware_astar,astar,50,0.92,0.66,0.26,0.11016620409190123,0.40983379590809876,,0.002349853515625,,,17,McNemar exact,15.0,2.0,0.030548095703125,True,secondary
