seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,prior_body,max_slope_deg,condition,split
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,242.0225663646798,43.43500134428548,214.74576831293822,193.59285954096563,180,28.72792206135786,8,1,0.2828058516081323,28,3138,0.024261164834496474,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400001,timeout,False,1.8472381300983158,6.878417360830329,1,3,423.28778263417627,41.626371721520435,31.671922420672757,13.804577613962334,180,38.62741699796952,7,1,0.31972279383742935,28,5597,0.023254886756310822,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400002,timeout,False,1.9161997305194356,5.024578748331417,1,3,421.9769302261874,51.47657663486219,42.83297974200325,14.270515642937475,180,34.38477631085024,7,3,0.44418130790779115,33,8908,0.10651935745852403,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400003,timeout,False,1.137787667753198,5.008044798502872,1,3,415.1148033725864,53.200582324507344,51.41911228524962,22.99697736370333,180,48.87005768508879,7,1,0.29067573488870974,43,10696,0.027410590229193454,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400000,timeout,False,2.670109748863812,6.284689184666288,1,3,336.6937292508072,42.27768779564219,118.91729187816479,95.93926743062904,180,10.828427124746192,8,3,0.38046148710949657,34,548,0.02970921252472447,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,360.55277029904795,3.4649568552290546,56.245519889514604,56.26551988951461,13,11.65685424949238,0,2,0.4438567891559777,16,410,0.02600479752709306,0,6.324555320336759,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400002,timeout,False,1.9161997305194356,5.024578748331417,1,3,376.69912683914004,51.62351115636982,88.25771765055754,58.10747024415971,180,23.656854249492383,8,3,0.5142017880147735,30,993,0.15518871826858616,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,413.6448889919769,7.337192533021385,7.025636874377891,7.045636874377891,30,28.899494936611667,0,2,0.34733879546537144,27,1022,0.021952595867875013,1,8.06225774829855,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,392.5734770605707,43.93783587794798,64.69769215070558,44.21598171548112,180,33.55634918610404,7,2,0.34311179130742386,29,3000,0.02299834050064431,0,0.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,318.02737517442614,7.528739601753279,102.83469776066067,102.85469776066067,27,28.72792206135786,0,1,0.3128839303788171,20,5671,0.028089127046970974,0,6.324555320336759,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,413.975207506363,7.768236796340189,7.126362623310594,7.146362623310593,30,29.556349186104054,0,3,0.41135326033399544,27,8753,0.028219385535130592,1,2.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
